Fare,Age,Pclass,SibSp,Parch,Sex_male,Embarked_Q,Embarked_S,Survived
-0.3120106021758714,-0.5657364610748746,1.0,0.125,0.0,1.0,0.0,1.0,0
2.4612422909015312,0.6638610320657843,0.0,0.125,0.0,0.0,0.0,0.0,1
-0.2827766613540295,-0.2583370877897099,1.0,0.0,0.0,0.0,0.0,1.0,1
1.6737318966114614,0.4333115021019107,0.0,0.125,0.0,0.0,0.0,1.0,1
-0.277362968609244,0.4333115021019107,1.0,0.0,0.0,1.0,0.0,1.0,0
-0.25967968262767654,-0.10463740114712752,1.0,0.0,0.0,1.0,1.0,0.0,0
1.6201363384380845,1.893458525206443,0.0,0.0,0.0,1.0,0.0,1.0,0
0.2867438153974083,-2.1027333275006983,1.0,0.375,0.16666666666666666,1.0,0.0,1.0,0
-0.14382665788926616,-0.1814872444684187,1.0,0.0,0.3333333333333333,0.0,0.0,1.0,1
0.6763477929457417,-1.180535207645204,0.5,0.125,0.0,0.0,0.0,0.0,1
0.09726456932991473,-1.949033640858116,1.0,0.125,0.16666666666666666,0.0,0.0,1.0,1
0.5238635576190146,2.200857898491608,0.0,0.0,0.0,0.0,0.0,1.0,1
-0.277362968609244,-0.719436147717457,1.0,0.0,0.0,1.0,0.0,1.0,0
0.7285011433719076,0.7407108753870755,1.0,0.125,0.8333333333333333,1.0,0.0,1.0,0
-0.2858429769246761,-1.180535207645204,1.0,0.0,0.0,0.0,0.0,1.0,0
0.06694788995911578,1.9703083685277343,0.5,0.0,0.0,0.0,0.0,1.0,1
0.6353856281615965,-2.1027333275006983,1.0,0.5,0.16666666666666666,1.0,1.0,0.0,0
-0.06298073591573695,-0.10463740114712752,0.5,0.0,0.0,1.0,0.0,1.0,1
0.15356697387568427,0.12591212881674602,1.0,0.125,0.0,0.0,0.0,1.0,0
-0.31309334072482853,-0.10463740114712752,1.0,0.0,0.0,0.0,0.0,0.0,1
0.5000433095419583,0.4333115021019107,0.5,0.0,0.0,1.0,0.0,1.0,0
-0.06298073591573695,0.35646165878061953,0.5,0.0,0.0,1.0,0.0,1.0,1
-0.27826380708197634,-1.1036853643239128,1.0,0.0,0.0,0.0,1.0,0.0,1
0.9114839581456586,-0.10463740114712752,0.0,0.0,0.0,1.0,0.0,1.0,1
0.2867438153974083,-1.6416342675729512,1.0,0.375,0.16666666666666666,0.0,0.0,1.0,0
0.7333734668422146,0.6638610320657843,1.0,0.125,0.8333333333333333,0.0,0.0,1.0,1
-0.31309334072482853,-0.10463740114712752,1.0,0.0,0.0,1.0,0.0,0.0,0
10.764404753655324,-0.7962859910387481,0.0,0.375,0.3333333333333333,1.0,0.0,1.0,0
-0.28476023837571895,-0.10463740114712752,1.0,0.0,0.0,0.0,1.0,0.0,1
