Fare,Age,Pclass,SibSp,Parch,Sex_male,Embarked_Q,Embarked_S,Survived,FamilySize,IsAlone,Title,TicketGroupSize
-0.3120106021758714,-0.5657364610748746,1.0,0.125,0.0,1.0,0.0,1.0,0,1.125,0,Mr,1
2.4612422909015312,0.6638610320657843,0.0,0.125,0.0,0.0,0.0,0.0,1,1.125,0,Mrs,1
-0.2827766613540295,-0.2583370877897099,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1,Miss,1
1.6737318966114614,0.4333115021019107,0.0,0.125,0.0,0.0,0.0,1.0,1,1.125,0,Mrs,2
-0.277362968609244,0.4333115021019107,1.0,0.0,0.0,1.0,0.0,1.0,0,1.0,1,Mr,1
-0.2596796826276765,-0.1046374011471275,1.0,0.0,0.0,1.0,1.0,0.0,0,1.0,1,Mr,1
1.6201363384380845,1.893458525206443,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,1,Mr,1
0.2867438153974083,-2.1027333275006983,1.0,0.375,0.1666666666666666,1.0,0.0,1.0,0,1.5416666666666665,0,Master,4
-0.1438266578892661,-0.1814872444684187,1.0,0.0,0.3333333333333333,0.0,0.0,1.0,1,1.3333333333333333,0,Mrs,3
0.6763477929457417,-1.180535207645204,0.5,0.125,0.0,0.0,0.0,0.0,1,1.125,0,Mrs,2
0.0972645693299147,-1.949033640858116,1.0,0.125,0.1666666666666666,0.0,0.0,1.0,1,1.2916666666666665,0,Miss,2
0.5238635576190146,2.200857898491608,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,1,Miss,1
-0.277362968609244,-0.719436147717457,1.0,0.0,0.0,1.0,0.0,1.0,0,1.0,1,Mr,1
0.7285011433719076,0.7407108753870755,1.0,0.125,0.8333333333333333,1.0,0.0,1.0,0,1.9583333333333333,0,Mr,7
-0.2858429769246761,-1.180535207645204,1.0,0.0,0.0,0.0,0.0,1.0,0,1.0,1,Miss,1
0.0669478899591157,1.9703083685277345,0.5,0.0,0.0,0.0,0.0,1.0,1,1.0,1,Mrs,1
0.6353856281615965,-2.1027333275006983,1.0,0.5,0.1666666666666666,1.0,1.0,0.0,0,1.6666666666666665,0,Master,5
-0.0629807359157369,-0.1046374011471275,0.5,0.0,0.0,1.0,0.0,1.0,1,1.0,1,Mr,1
0.1535669738756842,0.125912128816746,1.0,0.125,0.0,0.0,0.0,1.0,0,1.125,0,Mrs,1
-0.3130933407248285,-0.1046374011471275,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,Mrs,1
0.5000433095419583,0.4333115021019107,0.5,0.0,0.0,1.0,0.0,1.0,0,1.0,1,Mr,2
-0.0629807359157369,0.3564616587806195,0.5,0.0,0.0,1.0,0.0,1.0,1,1.0,1,Mr,1
-0.2782638070819763,-1.1036853643239128,1.0,0.0,0.0,0.0,1.0,0.0,1,1.0,1,Miss,1
0.9114839581456586,-0.1046374011471275,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,1,Mr,1
